,overall,style,reviewText,summary
79,2,{'Format:': ' Amazon Video'},"['pathetic', 'reproduction', 'dickens', 'classic', 'interesting', 'movie', 'particularly', 'concerned', 'problem', 'people', 'lose', 'possessions', 'money', 'lenders', 'corporations', 'unlike', 'ones', 'directly', 'indirectly', 'media', 'present', 'us', 'american', 'version', 'christmas', 'carol']",Don't Bother: Read the News
80,5,{'Format:': ' Amazon Video'},"['love', 'movie', 'brings', 'back', 'memories', 'first', 'saw', 'henry', 'winkler', 'wonderful', 'american', 'scrooge', 'set', 'depression', '1930s', 'tiny', 'tim', 'young', 'boy', 'hit', 'polio']",Henry Winkler Is America's Scrooge
82,4,{'Format:': ' Amazon Video'},"['worth', 'watching', 'like', 'dickens']",I love a good Christmas story...
83,5,{'Format:': ' Amazon Video'},"['since', 'love', 'henry', 'winkler', 'easy', 'one', 'enjoy', 'henry', 'great', 'actor']","Henry is a great ""Scrooge"" aka Mr. Slade."
85,1,{'Format:': ' Amazon Video'},"['slow', 'moving', 'boring', 'never', 'finished']",Boring. Never finished it
86,4,{'Format:': ' Amazon Video'},"['thought', 'good', 'christmas', 'movie']",Four Stars
87,4,{'Format:': ' Amazon Video'},"['really', 'great', 'never', 'knew', 'fonze', 'played', 'scrooge', 'well', 'characters', 'names', 'different', 'nephew', 'ghost', 'christmas', 'future', 'talks', 'basic', 'story', 'line', 'old', 'wonderful', 'classic', 'really', 'enjoyed', 'movie', 'think']",Worth watching!
88,5,{'Format:': ' Amazon Video'},"['great', 'seeing', 'remember', 'first', 'came', 'henry', 'winkler', 'still', 'fonz', 'remember', 'strange', 'seeing', 'role', 'great', 'take', 'mr', 'dickens', 'classic', 'story']",Heeyyy
89,4,{'Format:': ' Amazon Video'},"['classic', 'christmas', 'carol', 'henry', 'winkler', 'playing', 'scrooge', 'actually', 'fairly', 'young', 'played', 'part', 'great', 'job', 'making', 'look', 'like', 'old', 'man', 'course', 'henry', 'great', 'job', 'acting', 'portion', 'ending', 'take', 'little', 'unbelievable', 'scroodge', 'old', 'time', 'still', 'uplifting', 'film', 'good', 'lesson', 'life']",Scroodge with Henry Winkler
90,4,{'Format:': ' Amazon Video'},"['fine', 'acting', 'henry', 'winkler', 'supporting', 'cast', 'nice', 'version', 'many', 'films', 'made', 'christmas', 'carol']",Nice version of A Christmas Carol
92,3,{'Format:': ' Amazon Video'},"['wife', 'liked', 'old', 'tv', 'special']",Wife liked it!
94,5,{'Format:': ' Amazon Video'},"['fans', 'dickens', 'story', 'remains', 'fresh', 'today', 'fans', 'henry', 'winkler', 'delivers', 'fonzi', 'good', 'looks', 'particular', 'method', 'acting', 'focused', 'sharp', 'movement', 'dialogue', 'great', 'watch', 'happy', 'days', 'familiar']",For fans of Henry Winkler it delivers with his Fonzi good looks and particular method of acting - very focused ...
95,5,{'Format:': ' Amazon Video'},"['well', 'made', 'good', 'acting']",good acting for
96,4,{'Format:': ' Amazon Video'},"['enjoyed', 'another', 'version', 'christmas', 'carol', 'story', 'still', 'comes']",Four Stars
98,5,{'Format:': ' Amazon Video'},"['recall', 'watching', 'henry', 'winkler', 'talk', 'show', 'movie', 'came', 'television', 'asked', 'viewers', 'let', 'know', 'thought', 'role', 'different', 'ones', 'come', 'know', 'eg', 'fonz', 'watched', '30', 'years', 'ago', 'enjoyed', 'recently', 'sought', 'watched', 'excellent', 'retelling', 'dicken', 'classic', 'americanized', 'twist', 'lessons', 'timeless', 'henry', 'winkler', 'mr', 'slade', 'really', 'well', 'done', 'believable', 'fan', 'christmas', 'carol', 'seen', 'many', 'cinematic', 'variations', 'made', 'tv', 'one', 'really', 'see']",I enjoyed it. It wasn't until recently I sought it ...
99,5,{'Format:': ' Amazon Video'},"['winkler', 'make', 'job', 'dated', 'realistic', 'version', 'well', 'done', 'nice', 'story', 'glad', 'found', 'amazon', 'seeing', 'back', '1979', 'tv']",A nice version of Christmas carol - winkler does a nice job
101,5,{'Format:': ' Amazon Video'},"['excellent', 'story', 'reminds', 'love', 'god', 'jesus', 'loves']",Five Stars
102,4,{'Format:': ' Amazon Video'},"['good', 'story', 'family', 'great', 'message']",Four Stars
103,5,{'Format:': ' Amazon Video'},"['love', 'henry', 'winkler', 'convincing', 'scrooge', 'meltable', 'heart', 'really', 'liked', 'way', 'story', 'wrote', 'ghostly', 'ghosts', 'past', 'present', 'future', 'christmases', 'love', 'happy', 'ending']",God bless Henry Winkler!
104,4,{'Format:': ' Amazon Video'},"['good', 'movie', 'still', 'like', 'old', 'one', 'best']",Four Stars
105,5,{'Format:': ' DVD'},"['saw', 'tv', 'movie', 'good', 'story', 'based', 'christmas', 'carol', 'set', 'depression', 'era', 'henry', 'winkler', 'excellent', 'acting', 'wonderful', 'christmas', 'movie']",great DVD
106,4,{'Format:': ' Amazon Video'},"['good', 'gets', 'modern', 'twist', '1800', 'tale']",Fun to watch.
110,5,{'Format:': ' Amazon Video'},"['henry', 'winkler', 'great', 'job', 'playing', 'slade', 'plan', 'mean', 'cold', 'hearted', 'rich', 'nothing', 'show', 'usual', 'transformation', 'auction', 'new', 'twist', 'adding', 'humor', 'un', 'expected', 'scene', 'winkler', 'ends', 'much', 'fun', 'end', 'movie', 'making', 'turning', 'comedy', 'watch']",Ayyyyyyyy! plus performance by Winkler
112,4,{'Format:': ' Amazon Video'},"['henry', 'winkler', 'great', 'job', 'american', 'rendition', 'classic']",Four Stars
113,5,{'Format:': ' Amazon Video'},"['great', 'holiday', 'movie', 'outstanding', 'miss', 'ed']",Five Stars
115,5,{'Format:': ' Amazon Video'},"['still', 'love', 'watch', 'movie', 'christmas', 'season']",great Christmas flick
117,5,{'Format:': ' DVD'},"['wow', 'didnt', 'think', 'like', 'much', 'never', 'think', 'fonz', 'watching', 'version', 'classic', 'story', 'three', 'quarters', 'movie', 'hated', 'winklers', 'character', 'creep', 'excellent', 'movie', 'imo']",This Isnt The Fonz---Ayyyyyyye.
118,5,{'Format:': ' Amazon Video'},"['like', 'first', 'came', 'guess', 'grows']",Imrproves with age
119,3,{'Format:': ' Amazon Video'},"['offense', 'performers', 'good', 'works', 'best', 'setting', 'england']",Just OK
122,1,{'Format:': ' Amazon Video'},"['movie', 'expected', 'however', 'worth', 'look', 'free', 'prime', 'man']","This movie was not what I expected, however, ..."
124,5,{'Format:': ' Amazon Video'},"['one', 'version', 'christmas', 'carol', 'like', 'mention', 'someone', 'collects', 'movies', 'christmas', 'carol', 'reads', 'book', 'almost', 'every', 'year', 'say', 'thoroughly', 'enjoyed', 'portrayal', 'scrooge', 'henry', 'winkler', 'set', 'depression', 'american', 'version', 'works', 'well', 'story']",Great Version
125,5,{'Format:': ' DVD'},"['saw', 'movie', 'decades', 'ago', 'tracked', 'tells', 'entire', 'story', 'ebeneezer', 'scrooge', 'felt', 'sorry', 'throughout', 'celebrated', 'hi', 'salvation', 'end']",The 'whole' story of Mr. Scrooge!!
126,5,{'Format:': ' DVD'},"['watched', 'amazon', 'prime', 'immediately', 'bought', 'copy', 'library', 'great', 'modern', 'retelling', 'dicken', 'classic', 'winkler', 'lead', 'character', 'well', 'acted', 'loved', 'ending', 'extra', 'nice', 'expecting']",A Must Watch Twist on an Old Classic
127,5,{'Format:': ' DVD'},"['great', 'take', 'dickens', 'classic', 'twentieth', 'century', 'twist', 'shows', 'range', 'henry', 'winkler', 'acting', 'ability']",A great take on Dickens's classic with a twentieth century twist
130,4,{'Format:': ' Amazon Video'},"['fonz', 'knew', 'good', 'take', 'classic', 'waste', 'time', 'probably', 'know', 'story', 'going', 'come', 'enjoyable', 'trip', 'none', 'less']",this was a good take on the classic
131,5,{'Format:': ' Amazon Video'},"['understand', 'shown', 'christmas', 'time', 'semi', 'modern', 'update', 'charles', 'dickens', 'classic', 'christmas', 'carol', 'set', 'depression', 'story', 'line', 'familiar', 'characters', 'refreshed']",I Like This Modern Christmas Carol
132,5,{'Format:': ' Amazon Video'},"['version', 'christmas', 'carol', 'good', 'story', 'based', 'familiar', 'theme', 'henry', 'winkler', 'scrooge', 'character', 'talented', 'actors', 'cast', 'acting', 'good', 'like', 'christmas', 'movies', 'definitly', 'give', 'one', 'try']",Henry Winkler as Scrooge
135,5,{'Format:': ' Amazon Video'},"['thus', 'clever', 'way', 'tell', 'traditional', 'story', 'watch', 'every', 'christmas']",Another Christmas Tradition
136,4,{'Format:': ' DVD'},"['remembered', 'watching', 'younger', 'enjoyed', 'wanted', 'get', 'watch', 'time', 'husband', 'enjoy']",... had remembered watching this when I was younger and enjoyed it. So I wanted to get and have ...
138,5,{'Format:': ' DVD'},"['henry', 'winkler', 'better', 'actor', 'gets', 'credit', 'makes', 'credible', 'american', 'version', 'scrooge']",Five Stars
141,5,{'Format:': ' DVD'},"['good', 'movie', 'came', 'time', 'thanks']",Five Stars
142,5,{'Format:': ' DVD'},"['terrific', 'christmas', 'movie', 'new', 'twist', 'christmas', 'carol']",A new and different Christmas Carol
145,5,{'Format:': ' DVD'},"['sweetie', 'swap', 'movies', 'folks', 'slept', '80', 'mine', 'hated', 'classic', 'movies', 'really', 'loved', 'one', 'mine', 'even', 'better', 'remembered', 'clarity', 'superb', 'henry', 'winkler', 'interview', 'great']",Should be a Classic
147,5,{'Format:': ' Amazon Video'},"['great', 'remake', 'would', 'like', 'add', 'collection', 'movies']",Great remake! I would like to add this to ...
148,5,{'Format:': ' DVD'},"['americanized', 'version', 'charles', 'dickens', 'classic', 'takes', 'place', 'concord', 'new', 'hampshire', 'christmas', 'eve', '1933', 'ben', 'slade', 'played', 'henry', 'winkler', 'insensitive', 'greedy', 'time', 'payment', 'holder', 'forces', 'citizens', 'small', 'new', 'england', 'village', 'either', 'pay', 'loans', 'lose', 'items', 'pay', 'lose', 'assets', 'even', 'fires', 'assistant', 'thatcher', 'trying', 'get', 'boss', 'reopen', 'failed', 'mill', 'create', 'new', 'industry', 'jobs', 'unemployed', 'workers', 'slade', 'soon', 'learns', 'folly', 'ways', 'ghost', 'late', 'partner', 'jack', 'latham', 'tells', 'cruel', 'nature', 'ruin', 'prevent', 'soul', 'dammed', 'must', 'expects', 'visits', 'three', 'ghosts', 'night', 'slade', 'receive', 'visitations', 'thru', 'retelling', 'past', 'seeing', 'tragedy', 'lonely', 'sad', 'death', 'learns', 'lesson', 'although', 'became', 'happier', 'soul', 'like', 'scrooge', 'learn', 'deal', 'people', 'better', 'way', 'film', 'wonderful', 'retelling', 'yultide', 'tale', 'mr', 'winkler', 'gives', 'best', 'performance', 'ever']","Henry Winkler gives us his version of""Scrooge""in this ABC TV movie version."
149,5,{'Format:': ' Amazon Video'},"['christmas', 'carol', 'watched', 'based', 'dickens', 'book', 'liked', 'best', 'boy', 'watched', 'tv', 'long', 'henry', 'winkler', 'ended', 'career', 'fonz', 'personally', 'think', 'made', 'bigger', 'career', 'actor', 'assume', 'may', 'type', 'casted', 'thus', 'shortened', 'acting', 'future']",... Christmas Carol's I watched based on dickens book I liked this the best
150,5,{'Format:': ' DVD'},"['great', 'version', 'christmas', 'carol', 'love', 'seller', 'fantastic', 'shipping', 'faster', 'indicated', 'price', 'amazing', 'another', 'great', 'addition', 'christmas', 'movie', 'collection']",Great version of A Christmas Carol - we love it
151,4,{'Format:': ' DVD'},"['docking', 'version', 'dickens', 'classic', 'one', 'star', 'henry', 'winkler', 'always', 'fonz', 'still', 'hear', 'voice', 'fonz', 'winkler', 'delivers', 'lines', 'mr', 'slade', 'american', 'version', 'scrooge', 'herbert', 'hoover', 'era', 'plays', 'young', 'old', 'versions', 'character', 'sounds', 'especially', 'character', 'old', 'new', 'mr', 'slade']","Still ""the Fonz"" to Me!"
153,4,{'Format:': ' Amazon Video'},"['love', 'adaptation', 'classic', 'tale', 'henry', 'winkler', 'course', 'one', 'favorite', 'actors', 'different', 'slant', 'original', 'gets', 'message', 'across', 'none', 'less', 'well', 'worth', 'viewing']",Good Adaptation of the Classic Tale
154,5,{'Format:': ' Amazon Video'},"['always', 'liked', 'henry', 'winkler', 'disappoint', 'played', 'good', 'mean', 'man', 'stayed', 'original', 'plot', 'part']",Good movie
155,2,{'Format:': ' Amazon Video'},"['started', 'promising', 'began', 'drag', 'focusing', 'much', 'irrelevant', 'history']",Disappointing
156,5,{'Format:': ' DVD'},"['great', 'movie', 'twist', 'classic', 'scrooge']",Five Stars
157,2,{'Format:': ' Amazon Video'},"['unusual', 'take', 'christmas', 'carol', 'movie', 'takes', 'place', 'new', 'hampshire', 'early', '20th', 'century', 'made', 'tv', 'movie', 'low', 'budget', 'good', 'parts', 'acting', 'bad', 'henry', 'winklers', 'make', 'badly', 'done', 'made', 'movie', 'late', '40', 'plays', 'old', 'scoroge', 'case', 'slade', '80', 'interesting', 'would', 'recommend']",It has some good parts and the acting is not bad
158,5,{'Format:': ' Amazon Video'},"['nice', 'twist', 'great', 'classic', 'story']",Loved it!
